2019-01-07 08:05:14:162,Supply Current,Supply Voltage,Load Current,Load Voltage,Soc1 Level,Soc2 Level,Soc3 Level,Soc4 Level,Soc5 Level,Soc1,Soc2,Soc3,Soc4,Soc5,B1Current,B2Current,B3Current,B4Current,B5Current,B1Voltage,B2Voltage,B3Voltage,B4Voltage,B5Voltage,B1RemainCapacity,B2RemainCapacity,B3RemainCapacity,B4RemainCapacity,B5RemainCapacity,B1EffectiveCurrent,B2EffectiveCurrent,B3EffectiveCurrent,B4EffectiveCurrent,B5EffectiveCurrent,B1RemianCapacityCoulombs,B2RemianCapacityCoulombs,B3RemianCapacityCoulombs,B4RemianCapacityCoulombs,B5RemianCapacityCoulombs,B1SecondarySoC,B2SecondarySoC,B3SecondarySoC,SW1State,SW2State,SW3State,SW4State,SW5State,SW6State,SW7State,idleUpRequest,BMSWarning,SW1Warning,SW2Warning,SW3Warning,SW4Warning,SW5Warning,SW6Warning,SW7Warning,BMSConfigureFailure,BMSBatteryReverseFailure,BMSFailure,CANDevTemperature,E1Current,E1Voltage,E2Current,E2Voltage,HCurrent,HVoltage,E1State,E2State,HState,BMSState,SwitchState       ,SW1STTExp,SW2STTExp,SW3STTExp,SW4STTExp,SW5STTExp,SW6STTExp,SW7STTExp,BMSAutoOfFTimeCount,BMSBatteryReverseFailure,FailureState   ,Bit0Failure,Bit1Failure,Bit2Failure,Bit3Failure,Bit4Failure,Bit5Failure,Bit6Failure,Bit7Failure,Bit8Failure,Bit9Failure,Bit10Failure,Bit11Failure,Bit12Failure,Bit13Failure,Bit14Failure,Bit15Failure
2019-01-07 08:05:14:622,0.000         ,0.000         ,0.000       ,0.002       ,4         ,5         ,5         ,-1        ,-1        ,75  ,100 ,100 ,-1  ,-1  ,0.00     ,-0.10    ,0.00     ,-0.10    ,-0.10    ,12.97    ,13.57    ,13.32    ,0.00     ,0.00     ,75              ,130             ,120             ,-1              ,-1              ,0.2               ,0.2               ,0.2               ,0.0               ,0.0               ,270142                  ,468000                  ,432000                  ,0                       ,0                       ,80.6          ,98.2          ,100.0         ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,NoReq        ,Irregular ,Mismatch  ,Mismatch  ,Mismatch  ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Normal             ,Normal                  ,Normal    ,17               ,0.00     ,12.98    ,-0.10    ,13.60    ,0.00    ,13.32   ,3      ,0      ,0     ,Failure ,On Before Cranking,ON       ,ON       ,ON       ,ON       ,ON       ,OFF      ,ON       ,0                  ,Normal                  ,Switch Mismatch,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml         ,Nml         ,Nml         ,Nml         ,Nml         ,Nml
2019-01-07 08:05:15:400,0.000         ,0.000         ,0.000       ,0.002       ,4         ,5         ,5         ,-1        ,-1        ,75  ,100 ,100 ,-1  ,-1  ,0.00     ,-0.10    ,0.00     ,-0.10    ,-0.10    ,12.94    ,13.55    ,13.31    ,0.00     ,0.00     ,75              ,130             ,120             ,-1              ,-1              ,0.2               ,0.2               ,0.2               ,0.0               ,0.0               ,270142                  ,468000                  ,432000                  ,0                       ,0                       ,80.6          ,98.2          ,100.0         ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,NoReq        ,Irregular ,Mismatch  ,Mismatch  ,Mismatch  ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Normal             ,Normal                  ,Normal    ,17               ,0.00     ,12.94    ,-0.10    ,13.55    ,0.00    ,13.31   ,3      ,0      ,0     ,Failure ,On Before Cranking,ON       ,ON       ,ON       ,ON       ,ON       ,OFF      ,ON       ,0                  ,Normal                  ,Switch Mismatch,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml         ,Nml         ,Nml         ,Nml         ,Nml         ,Nml
2019-01-07 08:05:16:413,0.000         ,0.000         ,0.000       ,0.002       ,4         ,5         ,5         ,-1        ,-1        ,75  ,100 ,100 ,-1  ,-1  ,0.00     ,-0.10    ,0.00     ,-0.10    ,-0.10    ,12.94    ,13.55    ,13.31    ,0.00     ,0.00     ,75              ,130             ,120             ,-1              ,-1              ,0.2               ,0.2               ,0.2               ,0.0               ,0.0               ,270142                  ,468000                  ,432000                  ,0                       ,0                       ,80.6          ,98.2          ,100.0         ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,NoReq        ,Irregular ,Mismatch  ,Mismatch  ,Mismatch  ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Normal             ,Normal                  ,Normal    ,17               ,0.00     ,12.94    ,-0.10    ,13.55    ,0.00    ,13.31   ,3      ,0      ,0     ,Failure ,On Before Cranking,ON       ,ON       ,ON       ,ON       ,ON       ,OFF      ,ON       ,0                  ,Normal                  ,Switch Mismatch,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml         ,Nml         ,Nml         ,Nml         ,Nml         ,Nml
2019-01-07 08:05:17:426,0.000         ,0.000         ,0.000       ,0.002       ,4         ,5         ,5         ,-1        ,-1        ,75  ,100 ,100 ,-1  ,-1  ,0.00     ,-0.10    ,0.00     ,-0.10    ,-0.10    ,12.94    ,13.55    ,13.31    ,0.00     ,0.00     ,75              ,130             ,120             ,-1              ,-1              ,0.2               ,0.2               ,0.2               ,0.0               ,0.0               ,270142                  ,468000                  ,432000                  ,0                       ,0                       ,80.6          ,98.2          ,100.0         ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,OFF     ,NoReq        ,Irregular ,Mismatch  ,Mismatch  ,Mismatch  ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Normal             ,Normal                  ,Normal    ,17               ,0.00     ,12.94    ,-0.10    ,13.55    ,0.00    ,13.31   ,3      ,0      ,0     ,Failure ,On Before Cranking,ON       ,ON       ,ON       ,ON       ,ON       ,OFF      ,ON       ,0                  ,Normal                  ,Switch Mismatch,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml         ,Nml         ,Nml         ,Nml         ,Nml         ,Nml
2019-01-07 08:05:18:440,0.000         ,0.000         ,0.000       ,0.002       ,4         ,5         ,5         ,-1        ,-1        ,75  ,100 ,100 ,-1  ,-1  ,0.00     ,-0.10    ,0.00     ,-0.10    ,-0.10    ,12.94    ,13.55    ,13.31    ,0.00     ,0.00     ,75              ,130             ,120             ,-1              ,-1              ,0.2               ,0.2               ,0.2               ,0.0               ,0.0               ,270142                  ,468000                  ,432000                  ,0                       ,0                       ,80.6          ,98.2          ,100.0         ,OFF     ,OFF     ,ON      ,OFF     ,OFF     ,OFF     ,OFF     ,NoReq        ,Irregular ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Normal             ,Normal                  ,Normal    ,17               ,0.00     ,12.94    ,-0.10    ,13.55    ,0.00    ,13.31   ,3      ,0      ,0     ,Failure ,On Before Cranking,ON       ,ON       ,ON       ,ON       ,ON       ,OFF      ,ON       ,0                  ,Normal                  ,Switch Mismatch,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml         ,Nml         ,Nml         ,Nml         ,Nml         ,Nml
2019-01-07 08:05:19:454,0.000         ,0.000         ,0.000       ,0.002       ,4         ,5         ,5         ,-1        ,-1        ,75  ,100 ,100 ,-1  ,-1  ,0.00     ,-0.10    ,0.00     ,-0.10    ,-0.10    ,12.94    ,13.55    ,13.31    ,0.00     ,0.00     ,75              ,130             ,120             ,-1              ,-1              ,0.2               ,0.2               ,0.2               ,0.0               ,0.0               ,270142                  ,468000                  ,432000                  ,0                       ,0                       ,80.6          ,98.2          ,100.0         ,OFF     ,OFF     ,ON      ,OFF     ,OFF     ,OFF     ,OFF     ,NoReq        ,Irregular ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Normal             ,Normal                  ,Normal    ,17               ,0.00     ,12.94    ,-0.10    ,13.55    ,0.00    ,13.31   ,3      ,0      ,0     ,Failure ,On Before Cranking,ON       ,ON       ,ON       ,ON       ,ON       ,OFF      ,ON       ,0                  ,Normal                  ,Switch Mismatch,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml         ,Nml         ,Nml         ,Nml         ,Nml         ,Nml
2019-01-07 08:05:21:290,0.000         ,13.572        ,0.000       ,0.002       ,4         ,5         ,5         ,-1        ,-1        ,75  ,100 ,100 ,-1  ,-1  ,0.00     ,-0.10    ,0.00     ,-0.10    ,-0.10    ,12.94    ,13.55    ,13.31    ,0.00     ,0.00     ,75              ,130             ,120             ,-1              ,-1              ,0.2               ,0.2               ,0.2               ,0.0               ,0.0               ,270142                  ,468000                  ,432000                  ,0                       ,0                       ,80.6          ,98.2          ,100.0         ,OFF     ,OFF     ,ON      ,OFF     ,OFF     ,OFF     ,OFF     ,NoReq        ,Irregular ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Normal             ,Normal                  ,Normal    ,17               ,0.00     ,12.94    ,-0.10    ,13.55    ,0.00    ,13.31   ,3      ,0      ,0     ,Failure ,On Before Cranking,ON       ,ON       ,ON       ,ON       ,ON       ,OFF      ,ON       ,0                  ,Normal                  ,Switch Mismatch,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml         ,Nml         ,Nml         ,Nml         ,Nml         ,Nml
2019-01-07 08:05:21:481,0.000         ,13.572        ,0.000       ,0.002       ,4         ,5         ,5         ,-1        ,-1        ,75  ,100 ,100 ,-1  ,-1  ,0.00     ,-0.10    ,0.00     ,-0.10    ,-0.10    ,12.94    ,13.55    ,13.31    ,0.00     ,0.00     ,75              ,130             ,120             ,-1              ,-1              ,0.2               ,0.2               ,0.2               ,0.0               ,0.0               ,270142                  ,468000                  ,432000                  ,0                       ,0                       ,80.6          ,98.2          ,100.0         ,OFF     ,OFF     ,ON      ,OFF     ,OFF     ,OFF     ,OFF     ,NoReq        ,Irregular ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Normal             ,Normal                  ,Normal    ,17               ,0.00     ,12.94    ,-0.10    ,13.55    ,0.00    ,13.31   ,3      ,0      ,0     ,Failure ,On Before Cranking,ON       ,ON       ,ON       ,ON       ,ON       ,OFF      ,ON       ,0                  ,Normal                  ,Switch Mismatch,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml         ,Nml         ,Nml         ,Nml         ,Nml         ,Nml
2019-01-07 08:05:22:495,0.000         ,13.572        ,0.000       ,0.002       ,4         ,5         ,5         ,-1        ,-1        ,75  ,100 ,100 ,-1  ,-1  ,0.00     ,-0.10    ,0.00     ,-0.10    ,-0.10    ,12.94    ,13.55    ,13.31    ,0.00     ,0.00     ,75              ,130             ,120             ,-1              ,-1              ,0.2               ,0.2               ,0.2               ,0.0               ,0.0               ,270142                  ,468000                  ,432000                  ,0                       ,0                       ,80.6          ,98.2          ,100.0         ,OFF     ,OFF     ,ON      ,OFF     ,OFF     ,OFF     ,OFF     ,NoReq        ,Irregular ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Normal             ,Normal                  ,Normal    ,17               ,0.00     ,12.94    ,-0.10    ,13.55    ,0.00    ,13.31   ,3      ,0      ,0     ,Failure ,On Before Cranking,ON       ,ON       ,ON       ,ON       ,ON       ,OFF      ,ON       ,0                  ,Normal                  ,Switch Mismatch,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml         ,Nml         ,Nml         ,Nml         ,Nml         ,Nml
2019-01-07 08:05:25:893,0.000         ,13.568        ,0.000       ,0.002       ,4         ,5         ,5         ,-1        ,-1        ,75  ,100 ,100 ,-1  ,-1  ,0.00     ,-0.10    ,0.00     ,-0.10    ,-0.10    ,12.94    ,13.55    ,13.31    ,0.00     ,0.00     ,75              ,130             ,120             ,-1              ,-1              ,0.2               ,0.2               ,0.2               ,0.0               ,0.0               ,270142                  ,468000                  ,432000                  ,0                       ,0                       ,80.6          ,98.2          ,100.0         ,OFF     ,OFF     ,ON      ,OFF     ,OFF     ,OFF     ,OFF     ,NoReq        ,Irregular ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Mismatch  ,OK        ,Mismatch  ,Normal             ,Normal                  ,Normal    ,17               ,0.00     ,12.94    ,-0.10    ,13.55    ,0.00    ,13.31   ,3      ,0      ,0     ,Failure ,On Before Cranking,ON       ,ON       ,ON       ,ON       ,ON       ,OFF      ,ON       ,0                  ,Normal                  ,Switch Mismatch,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml        ,Nml         ,Nml         ,Nml         ,Nml         ,Nml         ,Nml
